ISIN,Security,YahooSymbol,Sector
INE713T01028,APOLLO MICRO SYSTEMS LIMITED,,
INE296A01032,BAJAJ FINANCE LIMITED,,
INE377Y01014,BAJAJ HOUSING FINANCE LIMITED,,
INE05XR01022,BHARAT COKING COAL LIMITED,,
INE171Z01026,BHARAT DYNAMICS LIMITED,,
INE0HOQ01053,BILLIONBRAINS GARAGE VENTURES LIMITED,,
INE153T01027,BLS INTERNATIONAL SERVICES LIMITED,,
INE501A01019,DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD,,
INE040A01034,HDFC BANK LIMITED,,
INE066F01020,HINDUSTAN AERONAUTICS LIMITED,,
INE379A01028,ITC HOTELS LIMITED,,
INE718I01012,JSW CEMENT LIMITED,,
INE324D01010,LG ELECTRONICS INDIA LIMITED,,
INE301O01023,NATIONAL SECURITIES DEPOSITORY LIMITED,,
INE095N01031,NBCC,,
INE733E01010,NTPC LIMITED,,
INE003A01024,SIEMENS LIMITED,,
INE062A01020,STATE BANK OF INDIA,,
INE040H01021,SUZLON ENERGY LIMITED,,
INE976I01016,TATA CAPITAL LIMITED,,
INE142M01025,TATA TECHNOLOGIES LIMITED,,
INE245A01021,THE TATA POWER COMPANY LIMITED,,
INE669E01016,VODAFONE IDEA LIMITED,,
INE377N01017,WAAREE ENERGIES LIMITED,,
INE142M01025,TATA TECHNOLOGIES LIMITED,,
